Address,Longitude,Latitude,Neighbourhood,Apartment Building,Apartment Building Property Type,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,Property Management Or Landlord,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By
2 Kinsdale Blvd,-79.4882318,43.6368974,Stonegate-Queensway,TRUE,PRIVATE,1956,2017,45,4,Gorbay Company Limited,2021-05-03,84,FALSE,,FALSE,,
3 Hill Heights Rd,-79.4931682,43.6382068,Stonegate-Queensway,TRUE,PRIVATE,1962,2017,38,4,,2020-12-02,76,FALSE,,FALSE,,
235 Bloor St E,-79.380711,43.671231,Church-Yonge Corridor,TRUE,PRIVATE,1979,2017,479,28,Quadreal Property Group,2021-04-18,89,TRUE,"2019-04-02, 2016-04-13",FALSE,,
2559 Bloor St W,-79.4908881,43.6478626,Lambton Baby Point,TRUE,PRIVATE,1944,2018,27,4,,2019-10-30,75,FALSE,,FALSE,,
2960 Don Mills Rd W,-79.3523753,43.7813512,Don Valley Village,TRUE,PRIVATE,1960,2017,171,16,Cando Apartments Ltd.,2019-11-07,88,FALSE,,FALSE,,
33 Flamborough Dr,-79.4775814,43.7019503,Brookhaven-Amesbury,TRUE,PRIVATE,1953,2017,43,3,,2020-12-10,64,FALSE,,FALSE,,
4 Rannock St,-79.300549,43.728385,Wexford/Maryvale,TRUE,PRIVATE,1955,2017,26,4,Centurion,2019-11-21,85,TRUE,"2018-12-13, 2017-10-04, 2016-05-06",TRUE,"2018, 2017","0.28%, 0.25%"
8 Rannock St,-79.3000628,43.7287199,Wexford/Maryvale,TRUE,PRIVATE,1955,2017,33,4,Centurion,2019-11-21,85,TRUE,"2018-12-13, 2017-10-04",TRUE,2018,0.28%
860 Pharmacy Ave,-79.2988404,43.7280414,Wexford/Maryvale,TRUE,PRIVATE,1955,2017,30,4,Metcap Living Management Inc,2019-11-21,81,TRUE,2017-07-05,FALSE,,
10 Jayzel Dr,-79.5494301,43.7493431,Humbermede,TRUE,PRIVATE,1966,2017,90,7,Demilia Investments Ii-A,2019-11-19,73,TRUE,2017-03-30,FALSE,,
3355 Weston Rd,-79.5401162,43.7445011,Humbermede,TRUE,PRIVATE,1963,2017,57,4,Pjjaslar Holdings,2019-11-19,77,FALSE,,FALSE,,
77 Finch Ave E,-79.41089,43.77995,Willowdale East,TRUE,PRIVATE,1985,2017,438,21,Bcimc,2019-11-18,88,TRUE,"2019-04-12, 2017-09-11, 2016-05-13",TRUE,2019,0.35%
200 Gateway Blvd,-79.335279,43.71516,Flemingdon Park,TRUE,PRIVATE,1966,2017,284,17,Novi Properties,2020-11-05,70,FALSE,,FALSE,,
1065 Don Mills Rd,-79.3424845,43.7359597,Banbury-Don Mills,TRUE,PRIVATE,1959,2017,61,4,,2019-11-05,81,FALSE,,FALSE,,
100 Gamble Ave,-79.350779,43.690367,Broadview North,TRUE,PRIVATE,1965,2017,152,12,Novi Properties,2020-12-18,64,FALSE,,FALSE,,
72 Gamble Ave,-79.35207,43.690115,Broadview North,TRUE,PRIVATE,1964,2017,212,12,Ranee Management,2020-12-10,81,TRUE,2020-01-08,FALSE,,
15 Rockford Rd,-79.4478355,43.7849684,Westminster-Branson,TRUE,PRIVATE,1965,2017,117,12,Embee Properties Limited,2019-11-07,71,FALSE,,FALSE,,
605 Finch Ave W,-79.452687,43.771314,Westminster-Branson,TRUE,PRIVATE,1967,2017,244,9,,2020-10-28,87,FALSE,,FALSE,,
3 Goldfinch Crt,-79.449224,43.771024,Westminster-Branson,TRUE,PRIVATE,1964,2017,172,15,Q Residential,2019-11-07,84,TRUE,2016-07-15,TRUE,2018,2.3%
2895 Bathurst St,-79.4283725,43.7147741,Bedford Park-Nortown,TRUE,PRIVATE,1960,2017,60,5,Firm Capital Properties Inc,2020-12-04,76,TRUE,2019-08-02,FALSE,,
141 Woodward Ave,-79.5068982,43.7096944,Weston,TRUE,PRIVATE,1954,2020,11,3,Sanberg Investments Inc.,2020-10-20,66,FALSE,,FALSE,,
2360 Weston Rd,-79.5316962,43.7058955,Weston,TRUE,PRIVATE,1968,2018,52,6,Timbercreek Communities,2019-11-04,80,TRUE,2021-02-18,FALSE,,
2304 Weston Rd,-79.5301671,43.7050679,Weston,TRUE,PRIVATE,1962,2017,97,13,Clv Group Inc,2019-11-04,87,TRUE,2021-04-26,FALSE,,
20 Carluke Crescent,-79.391623,43.761181,St.Andrew-Windfields,TRUE,PRIVATE,1962,2017,154,12,Pinedale Properties Ltd,2019-10-28,81,FALSE,,FALSE,,
3 Broadway Ave,-79.3984513,43.7094862,Mount Pleasant West,TRUE,PRIVATE,1930,2017,36,4,Starlight Investments,2019-02-28,72,TRUE,"2020-11-24, 2018-02-06",FALSE,,
651 Lawrence Ave W,-79.4413468580248,43.7166384501118,Englemount-Lawrence,TRUE,SOCIAL HOUSING,2003,2017,24,3,Ecuhome Corporation,2020-12-07,89,FALSE,,FALSE,,
151 Beecroft Rd,-79.4142568,43.7649979,Lansing-Westgate,TRUE,PRIVATE,2003,2017,306,27,Concert Realty Services Ltd.,2019-11-18,89,FALSE,,FALSE,,
80 Forest Manor Rd,-79.344625,43.774943,Henry Farm,TRUE,PRIVATE,1965,2017,287,18,,2019-11-18,95,FALSE,,FALSE,,
387 Sherbourne St,-79.3730632,43.6641595,Cabbagetown-South St.James Town,TRUE,PRIVATE,1910,2017,44,4,,2017-10-23,56,FALSE,,FALSE,,
50 Cambridge Ave,-79.360357,43.677476,Playter Estates-Danforth,TRUE,PRIVATE,1967,2017,275,21,Westdale Properties,2019-12-04,82,FALSE,,FALSE,,
1001 Lawrence Ave E,-79.3420215,43.7371152,Banbury-Don Mills,TRUE,PRIVATE,1962,2017,69,7,,2019-11-04,81,FALSE,,FALSE,,
22 Riverwood Pkwy,-79.4895488,43.6388117,Stonegate-Queensway,TRUE,PRIVATE,1958,2019,44,4,,2021-05-06,69,FALSE,,FALSE,,
172 Berry Rd,-79.4925132,43.6367612,Stonegate-Queensway,TRUE,PRIVATE,1954,,32,4,Gilindo Marcocchio Limited,2019-10-30,67,FALSE,,FALSE,,
2 Kings Point Dr,-79.494423,43.6393751,Stonegate-Queensway,TRUE,PRIVATE,1954,2017,16,4,Mlz Holdings,2020-11-16,82,TRUE,2017-10-04,FALSE,,
39 Riverwood Pkwy,-79.4907012,43.6403913,Stonegate-Queensway,TRUE,PRIVATE,1957,2018,23,4,Akelius Canada Ltd,2019-10-30,69,FALSE,,FALSE,,
69 Old Mill Terrace,-79.498712,43.6497124,Stonegate-Queensway,TRUE,PRIVATE,1955,2017,26,4,Kings College Management Ltd,2021-04-21,78,FALSE,,FALSE,,
592 Church St,-79.3817897,43.6670421,Church-Yonge Corridor,TRUE,PRIVATE,1910,2017,12,3,Church 18 Holdings Inc.,2020-12-08,72,FALSE,,FALSE,,
5 Bellevue Crescent,-79.5152293,43.6991425,Weston,TRUE,TCHC,1971,2017,326,21,Del Managment,2020-10-22,75,FALSE,,FALSE,,
5 Capri Rd,-79.564548,43.651705,Islington-City Centre West,TRUE,PRIVATE,1967,2017,329,25,Capri Holdings,2020-10-21,76,TRUE,2021-04-16,FALSE,,
65 Hillside Dr,-79.3560369,43.6894436,Broadview North,TRUE,PRIVATE,1954,2017,71,4,Greenwin Corp.,2019-12-04,88,TRUE,"2017-04-19, 2016-03-04",TRUE,"2018, 2018, 2018, 2018","0.75%, 0.75%, 0.75%, 0.75%"
95 High Park Ave,-79.466133,43.656768,High Park North,TRUE,PRIVATE,1969,2017,218,16,Vertica Resident Services,2019-11-06,78,FALSE,,FALSE,,
829 Birchmount Rd,-79.2769308,43.729013,Ionview,TRUE,PRIVATE,1961,2017,65,6,Rydel Management Inc.,2020-10-30,74,FALSE,,FALSE,,
17 Gulliver Rd,-79.4767838,43.6987214,Brookhaven-Amesbury,TRUE,PRIVATE,1960,2017,42,6,,2019-11-06,81,FALSE,,FALSE,,
45 Gulliver Rd,-79.4785511,43.6983249,Brookhaven-Amesbury,TRUE,PRIVATE,1965,2017,43,5,Greenview Investments,2019-11-06,74,TRUE,2018-07-23,TRUE,2019,0.43%
26 Gulliver Rd,-79.477684,43.6993058,Brookhaven-Amesbury,TRUE,PRIVATE,1963,2017,53,6,Canal Property Management,2019-11-06,74,TRUE,"2018-06-06, 2016-12-15",TRUE,2019,0.4%
2423 Keele St,-79.4782584,43.710788,Maple Leaf,TRUE,PRIVATE,1954,2017,12,3,,2020-10-14,92,FALSE,,FALSE,,
6 The Donway E,-79.3405227,43.7335982,Banbury-Don Mills,TRUE,PRIVATE,1950,2017,40,4,Compten Management Inc,2020-11-14,83,TRUE,2019-02-20,FALSE,,
1002 Lawrence Ave E,-79.3424978,43.7379953,Banbury-Don Mills,TRUE,PRIVATE,1954,2017,77,4,Monterey Park Inc.,2019-11-04,81,TRUE,2017-10-27,TRUE,2018,0.37%
150 Graydon Hall Dr,-79.3428275,43.7656795,Parkwoods-Donalda,TRUE,PRIVATE,1970,2017,298,25,,2020-11-20,89,FALSE,,FALSE,,
25 Parkway Forest Dr,-79.34165,43.769226,Henry Farm,TRUE,PRIVATE,1972,2017,300,17,Homestead Land Holdings,2019-11-18,98,TRUE,"2019-07-26, 2019-02-19",FALSE,,
4875 Dundas St W,-79.527515,43.649523,Islington-City Centre West,TRUE,PRIVATE,1968,2017,56,10,,2019-10-29,69,FALSE,,FALSE,,
49 Mabelle Ave,-79.528586,43.644977,Islington-City Centre West,TRUE,TCHC,1979,2017,128,13,,2020-10-20,88,FALSE,,FALSE,,
307 The Kingsway,-79.522177,43.6646516,Edenbridge-Humber Valley,TRUE,PRIVATE,1962,2017,26,3,Orchard Apartments (307) Inc,2020-11-20,79,FALSE,,FALSE,,
309 The Kingsway,-79.522593,43.6648959,Edenbridge-Humber Valley,TRUE,PRIVATE,1955,2017,34,4,2074251 Ontario,2020-11-10,80,TRUE,2018-12-10,FALSE,,
20 Anglesey Blvd,-79.5217693,43.6647896,Edenbridge-Humber Valley,TRUE,PRIVATE,1953,2017,25,4,Fine Realty Ltd,2020-12-01,78,FALSE,,FALSE,,
10 Trudelle St,-79.244917,43.740209,Eglinton East,TRUE,PRIVATE,1964,2017,84,6,Gold Seal Management Inc.,2021-04-20,84,FALSE,,FALSE,,
47 Generation Blvd,-79.1667363,43.8042114,Rouge,TRUE,PRIVATE,1975,2017,180,3,Morguard Residential,2019-11-29,75,FALSE,,FALSE,,
47 Gilder Dr,-79.2553148,43.7363572,Eglinton East,TRUE,TCHC,1970,2017,66,6,,2020-11-24,76,FALSE,,FALSE,,
34 Rosecliffe Ave,-79.444005,43.683875,Oakwood Village,TRUE,PRIVATE,1945,2018,26,4,Harvey Kalles,2021-04-30,67,FALSE,,FALSE,,
3735 Dundas St W,-79.499098,43.664948,Lambton Baby Point,TRUE,TCHC,1972,2017,132,10,TCH,2019-10-31,66,FALSE,,FALSE,,
2283 Eglinton Ave E,-79.2723809,43.7305608,Ionview,TRUE,PRIVATE,1964,2017,101,9,Capreit,2019-11-20,90,FALSE,,FALSE,,
120 Town Haven Pl,-79.2592762,43.7332476,Kennedy Park,TRUE,TCHC,1989,2017,150,8,,2021-04-21,89,FALSE,,FALSE,,
1 Rosemount Dr,-79.2739393,43.7315328,Ionview,TRUE,PRIVATE,1972,2017,110,9,Northview Apartment Reit,2019-11-25,86,TRUE,2017-05-02,TRUE,2018,0.71%
1255 Birchmount Rd,-79.2840523,43.7467388,Dorset Park,TRUE,PRIVATE,1960,2017,70,6,Cogir Management Corporation,2019-11-25,89,TRUE,"2019-02-20, 2018-08-09",FALSE,,
831 Kennedy Rd,-79.2687947,43.7359962,Ionview,TRUE,PRIVATE,1954,2017,50,6,D&D Management,2020-12-17,81,FALSE,,FALSE,,
2643 Keele St,-79.4800526,43.7214397,Maple Leaf,TRUE,PRIVATE,1955,2017,21,3,,2021-04-23,79,FALSE,,FALSE,,
1605 Jane St,-79.5025585,43.7002993,Brookhaven-Amesbury,TRUE,PRIVATE,1958,2017,28,3,,2019-03-07,91,FALSE,,FALSE,,
20 Godstone Rd,-79.347498,43.7806415,Don Valley Village,TRUE,PRIVATE,1968,2017,174,15,Fieldgate Properties,2020-12-23,81,TRUE,2017-11-20,FALSE,,
